ID,VIZ,TD
"Freelance, 2024","Freelance, 2024",AI Virtual Companion
John Jacobs × Masaba Gupta,Fitmint,Customisable Avatar Body System
Muse — Personalised Watch System,John Jacobs × Masaba Gupta,Fitmint
Anti-Viral Protective Range,Mushroom Fiend vs Humans,Tap-to-Play AR Game
BBC League — Trophy Design,Youforia Show,Strandbeest — Theo Jansen Mechanism
Toruk — Custom Bike,"Diaz, Goa — Techno Night",IG · Hand tracking in TouchDesigner
Cosmo — Concept Footwear,Loops & Studies,IG · Roto & isolation workflow
JEEV — Parametric Pendant Light,Dreamhome,IG · Make anything breathe or bounce
Dabur Vatika — Hair Oil Bottle,Product Visualisation,IG · Fluid sim — viewport vs render
"XOXO — 10,000 BC Cross Stool",3D Rendering,IG · FPS environment in Unreal 5
Installation,Mobius Ring — Exploration,IG · Crystalverse — web-based 3D game
Headphone Concepts,Digital Illustration,IG · Compositing in After Effects
E-Waste & Consumerism,Photography,IG · Dynamic outfit & 3D UI overlays (in Fitmint)
Aloka 2.0 — Smart Eyewear,IG · Projection mapping exercise,IG · Apex asset series (in Fitmint)
Aloka — Smart Eyewear,IG · Geode NFT,IG · Onboarding visuals (in Fitmint)
Monsoon Fiesta — Trophy Design,IG · Artwork for Bonzai Music,IG · NFT (in Fitmint)
Form Studies,IG · Digital wardrobe collage,
Red Raven — Retro Collectible Toy,IG · The Game,
Product Tear-down & Scaled Model Making,IG · Do you have gum bro?,
WorldSkills Regionals — BIEC,IG · 2024 recap,
Foundation Year — NID Ahmedabad,IG · Batman,
A Collection of My Old Works,IG · Pwnisher challenge (in Mushroom Fiend vs Humans),
IG · Grilled iPhone — BMW Motorsport,IG · Visuals for Hrutul Patel (in Youforia Show),
IG · Concept study — Keyshot,"IG · Diaz, Goa — first set (in Diaz, Goa — Techno Night)",
IG · Product render — 3DHOC,"IG · Saturday night visuals (in Diaz, Goa — Techno Night)",
IG · Product render study,IG · 1stroke — live painting (in Loops & Studies),
IG · Icon helmet — Keyshot,IG · Just floating around (in Loops & Studies),
IG · NID — product render,,
IG · Campaign (in John Jacobs × Masaba Gupta),,
IG · Personalised watch (in Muse — Personalised Watch System),,
IG · Trophy (in BBC League — Trophy Design),,
IG · At NID (in BBC League — Trophy Design),,
IG · Brat-built Yamaha FZ150 (in Toruk — Custom Bike),,
IG · Café racer — feature (in Toruk — Custom Bike),,
IG · Café racer — build (in Toruk — Custom Bike),,
IG · Outerverse (in Cosmo — Concept Footwear),,
IG · Tacklebox (in Cosmo — Concept Footwear),,
IG · Sneaker concept (in Cosmo — Concept Footwear),,
IG · Adidas concept (in Cosmo — Concept Footwear),,
IG · Adidas concept II (in Cosmo — Concept Footwear),,
IG · Chandelier form sculpting (in JEEV — Parametric Pendant Light),,
IG · Bottle (in Dabur Vatika — Hair Oil Bottle),,
IG · Render (in Dabur Vatika — Hair Oil Bottle),,
"IG · Flatpack furniture (in XOXO — 10,000 BC Cross Stool)",,
IG · Infinity Mirror — the build (in Installation),,
IG · Infinity Mirror — transition (in Installation),,
